"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.882609667E0,-1.522679275E-1,-1.602720349E-1,-3.310272503E-1
2.892671667E0,-1.661562341E-1,-1.403843388E-1,-2.722486997E-1
2.902732667E0,-4.648273319E-2,-7.531856954E-2,-1.122185934E-1
2.912794667E0,-9.884718060E-2,-2.403995007E-1,2.466823339E-2
2.922855667E0,-2.136212996E-1,4.013528824E-2,1.409208208E-1
2.932917667E0,-1.127635539E-3,-1.116772874E-1,3.181177676E-1
2.942978667E0,-1.016611531E-1,-5.125040665E-1,1.925072962E-1
2.953039667E0,3.436087042E-2,-3.574828313E-1,1.070677811E-1
2.963101667E0,1.883104572E-1,-1.629290096E-1,-1.672900093E-1
2.973162667E0,-1.147136003E-2,3.045895033E-1,-1.929037374E-1
2.983224667E0,1.252824426E-1,2.712431248E-1,-1.499746495E-1
2.993285667E0,2.584013236E-1,3.497810251E-1,-2.171246588E-1
3.003347667E0,9.336453885E-2,2.648275597E-1,-5.240274668E-2
3.013408667E0,-1.068031946E-1,-1.108297335E-1,1.023484933E-1
3.023470667E0,-1.775138658E-1,-2.884482644E-1,7.912042916E-2
3.033531667E0,-2.778722593E-1,-1.056115320E-1,-7.814862192E-2
3.043592667E0,-1.577374130E-1,-2.402400179E-1,-1.050808972E-1
3.053654667E0,1.092368057E-1,-1.383436605E-2,-2.490902174E-1
3.063715667E0,1.679381731E-1,3.486475423E-1,-2.027732527E-1
3.073777667E0,-1.141785800E-2,4.212041795E-2,-6.238160491E-2
3.083838667E0,-2.153435969E-1,1.757195015E-1,-4.826642632E-2
3.093900667E0,-1.379293853E-1,3.619616523E-2,-6.468716204E-2
3.103961667E0,-6.976780772E-2,-3.242544204E-2,-4.372313976E-2
3.114022667E0,-7.852956802E-2,-4.371042207E-2,5.156425595E-2
3.124084667E0,-7.517882109E-2,-1.399189004E-1,-3.095925272E-2
3.134145667E0,-1.738885921E-1,3.277174339E-2,-1.555756974E-1
3.144207667E0,-9.722443208E-2,-4.169474065E-2,-1.899701893E-1
3.154268667E0,-5.473724753E-2,-9.479184419E-2,-1.637354869E-1
3.164330667E0,-4.656181678E-2,-4.345299840E-2,-8.343859792E-2
3.174391667E0,-5.048924536E-2,-5.382362008E-2,-3.139188820E-1
3.184453667E0,-6.361302853E-2,-4.610368744E-2,-3.294409007E-1
3.194514667E0,-3.193924606E-2,-5.981891647E-2,-2.152015096E-1
3.204575667E0,-1.227871433E-2,-1.938088864E-2,-1.554049587E-1
3.214637667E0,1.202012122E-2,3.891716704E-2,-1.486350524E-1
3.224698667E0,-4.359581664E-2,9.146360904E-2,-1.734512204E-1
3.234760667E0,-5.796564147E-2,-4.633655280E-2,-4.028380752E-2
3.244821667E0,-4.227317646E-2,-5.563026354E-2,1.366295493E-1
3.254883667E0,-1.420873404E-4,-2.547152388E-1,1.781453651E-1
3.264944667E0,-2.776842713E-3,-3.524387307E-1,-3.889158547E-2
3.275005292E0,1.639705449E-2,-1.328415768E-1,-1.445525265E-1
3.285067292E0,1.353966638E-2,-2.771045199E-1,-8.096171737E-2
3.295128292E0,1.158244251E-1,-2.916635022E-1,-8.629320860E-2
3.305190292E0,1.534345932E-1,8.088775009E-2,-2.056927675E-1
3.315251292E0,2.935302258E-4,-1.096572205E-1,-4.937839133E-1
3.325313292E0,-1.749621409E-1,-5.165430307E-2,-4.119427747E-1
3.335374292E0,-1.545360625E-2,-3.261869252E-2,-3.602685910E-1
3.345435292E0,-7.451194614E-2,4.814743549E-2,-2.717136794E-1
3.355497292E0,3.535182729E-2,-1.380349275E-1,-3.316628426E-1
3.365558292E0,-8.574737102E-2,3.416264981E-2,-3.289854026E-1
3.375620292E0,-2.087369741E-1,-4.410350114E-2,-2.826432949E-1
3.385681292E0,-2.196480247E-1,-1.873573610E-1,-1.174272931E-1
3.395743292E0,-1.022678018E-1,-1.452615014E-1,-3.296660185E-2
3.405804292E0,-1.516519234E-2,2.467174172E-2,-1.260472584E-1
3.415866292E0,7.755688369E-2,-4.208591938E-2,-2.948370785E-1
3.425927292E0,3.875768423E-2,1.092832911E-1,-4.833992583E-1
3.435988292E0,-5.576460332E-2,1.054413781E-2,-4.064668572E-1
3.446050292E0,-1.236817673E-2,-1.436883080E-1,-1.491232949E-1
3.456111292E0,4.354523823E-2,3.365949690E-2,-4.289634347E-2
3.466173292E0,4.970074832E-2,5.541260093E-3,-5.091813862E-2
3.476234292E0,7.467683762E-2,-6.968097657E-2,-1.308928460E-1
3.486296292E0,-8.129296213E-2,7.682773590E-2,-1.456249058E-1
