"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.840748958E0,7.735992074E-1,-3.239521384E-1,9.872477651E-1
3.850819958E0,1.346718788E0,-5.914527774E-1,1.014291286E0
3.860859958E0,1.650460005E0,-1.097830415E0,7.464773655E-1
3.870930958E0,1.707933903E0,-1.819695115E0,4.792267680E-1
3.880970958E0,1.714025259E0,-2.172530413E0,1.634002179E-1
3.891041958E0,1.631041884E0,-2.308405638E0,-2.951117158E-1
3.901112958E0,1.365998864E0,-2.156940460E0,-7.101195455E-1
3.911152958E0,1.147790670E0,-1.495413899E0,-1.103585839E0
3.921223958E0,8.318873644E-1,-9.052462578E-1,-1.297069550E0
3.931294958E0,4.873675704E-1,-5.426036119E-1,-1.214597583E0
3.941334958E0,1.856860816E-1,-3.140049279E-1,-8.881559968E-1
3.951405958E0,-9.348385036E-3,-1.170441955E-1,-7.028349042E-1
3.961476958E0,-1.364337206E-1,-6.409624219E-2,-7.913933396E-1
3.971516958E0,-2.090354860E-1,-1.671643108E-1,-1.054228425E0
3.981587958E0,-1.131254435E-1,-1.611546278E-1,-1.263241649E0
3.991627958E0,1.002241150E-1,-2.918013334E-1,-1.360582352E0
4.001713708E0,3.099086881E-1,-5.741624832E-1,-1.295410037E0
4.011784708E0,1.808303446E-1,-9.308079481E-1,-8.763512969E-1
4.021824708E0,-2.146038860E-1,-1.355434299E0,-4.547809064E-1
4.031895708E0,-6.225085855E-1,-1.422962189E0,-2.549185976E-2
4.041966708E0,-6.043492556E-1,-6.514758468E-1,3.877196908E-1
4.052006708E0,-4.829351902E-1,7.650411688E-3,5.795778036E-1
4.062077708E0,-4.912517369E-1,2.931359708E-1,5.990609527E-1
