"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.720021958E0,-6.521294367E-1,7.840139120E0,-4.220730758E-1
3.730091958E0,-6.598416218E-1,8.253088785E0,3.735657442E-1
3.740162958E0,4.720427960E-2,8.480051385E0,6.053014255E-1
3.750203958E0,5.995413333E-2,8.719031181E0,1.356062865E-1
3.760273958E0,-5.488220000E-1,1.002463959E1,-1.182728004E-1
3.770314958E0,-6.000377619E-1,1.199603887E1,-1.471159458E-1
3.780384958E0,-9.317552760E-1,1.333012323E1,8.581818080E-1
3.790455958E0,-2.238267666E0,1.223203951E1,1.949812531E0
3.800495958E0,-3.261447375E0,8.212115006E0,1.132364767E0
3.810566958E0,-3.229474215E0,2.470847393E0,-7.090193367E-1
3.820637958E0,-3.672131829E0,-2.962397085E0,-1.563318594E0
3.830677958E0,-5.254068249E0,-6.592903463E0,-1.534947903E0
3.840748958E0,-6.853820844E0,-7.644753824E0,-1.357006606E0
3.850819958E0,-7.429809008E0,-8.857097976E0,-1.199883735E0
3.860859958E0,-7.403999398E0,-1.068299631E1,-3.015741234E0
3.870930958E0,-5.429106989E0,-1.139689574E1,-5.487515996E0
3.880970958E0,-2.188459037E0,-1.334184105E1,-8.678217616E0
3.891041958E0,1.547271787E0,-1.576767423E1,-1.082985030E1
3.901112958E0,5.062476043E0,-1.739913745E1,-1.171660161E1
3.911152958E0,6.137539265E0,-1.814008843E1,-1.220392025E1
3.921223958E0,6.423354675E0,-1.704192870E1,-1.119616901E1
3.931294958E0,6.854638284E0,-1.485447714E1,-8.861845331E0
3.941334958E0,6.561428486E0,-1.253704432E1,-6.569613419E0
3.951405958E0,5.002771293E0,-1.024511938E1,-4.472728211E0
3.961476958E0,3.322220119E0,-7.524856668E0,-1.895391911E0
3.971516958E0,9.211802942E-1,-3.594082317E0,1.069289682E0
3.981587958E0,-1.408404801E0,1.492653823E-1,2.032508533E0
3.991627958E0,-4.423434429E0,4.134348671E0,1.766533896E0
4.001713708E0,-6.150389106E0,8.315714804E0,7.368731332E-1
4.011784708E0,-6.646517168E0,1.251246379E1,6.468400455E-1
4.021824708E0,-7.114355232E0,1.329906048E1,1.278988377E0
4.031895708E0,-7.741598918E0,1.352146517E1,1.240354654E0
4.041966708E0,-6.039407784E0,1.156459505E1,-1.034395838E-1
4.052006708E0,-3.613939169E0,9.941348344E0,9.320251250E-1
4.062077708E0,-1.862646334E0,8.426817749E0,3.493790874E0
4.072147708E0,-1.489767345E0,7.534115734E0,4.263217796E0
4.082188708E0,-1.277215793E0,7.642047733E0,3.714289377E0
4.092259708E0,-3.064753765E-1,8.218331766E0,2.447029345E0
